,Health,,Dental,,Vison,,Critcal Care,,Caregiver
Option A,,Option A,,Option A,,Option A,,Option A,
Monthly Premium,$125 ,Monthly Premium,$25 ,Monthly Premium,$8 ,Monthly Premium,$150 ,Monthly Cost,$0 
Deductible,"$3,000 ",Annual Maximum Benefit,"$1,000 ",Coverage,Annual comprehensive eye exam (100% covered Frames: $100 allowance every 12 months Standard lenses: Covered in full every 12 months Contact lenses: $100 allowance (in lieu of glasses) ,Deductible / Cost-Share,"$1,000 ",Stipend,$250 
Out-of-Pocket Maximum,"$6,000 ",Coverage,"Preventive care: 100% (cleanings, exams, X-rays)  Basic procedures: 70% (fillings, extractions) Major procedures: 50% (crowns, bridges)",Best For,Employees who need routine vision care and budget-friendly coverage,t-of-Pocket Maximum,"$6,500 ",Coverage / Use,"Short-term in-home personal care assistance (bathing, meal prep) — limited hoursRespite care for family caregivers (up to 30 hours/month) Coordination assistance via a dedicated caregiver navigator (limited) "
Primary Care Copay Visit,$35 ,Best For,Routine dental maintenance,Option B,,Coverage,Inpatient ICU care (semi-private room) — covered after deductible Short-term step-down unit care Critical care physician services Emergency transport to nearest appropriate facility (air/ground) — subject to prior authorization when non-emergent Palliative consultations (limited visits),Best For,Employees who occasionally need help managing at-home care for an older adult or post-discharge patient
Specialist Copay Visit,$70 ,Option B,,Monthly Premium,$20 ,Best For,Individuals at moderate risk for acute hospitalizations or those who want basic protection for high-cost inpatient events,Option B,
Coverage,Primary care visits Emergency care Generic prescriptions Preventive services (100% covered),Monthly Premium,$45 ,Coverage,"Annual comprehensive eye exam (100% covered) Frames: $200 allowance every 12 months Premium lenses (anti-glare, progressive): Covered with a small copay Contact lenses: $150 allowance (in lieu of glasses) plus fittings 25% discount on LASIK and elective vision procedures",Option B,,Monthly Premium,$40 
Best For,Healthy individuals with minimal healthcare needs,Annual Maximum Benefit,"$2,000 ",Best For,"Employees who want broader materials coverage, premium lenses, or frequent prescription updates",Monthly Premium,$320 ,Benefit,$750 
Option B,,Coverage,"Preventive care: 100% Basic procedures: 80% Major procedures: 60% Orthodontia: 50% (up to $1,500 lifetime max)",,,Deductible / Cost-Share,$500 ,Coverage / Use,In-home skilled and non-skilled caregiving Adult day care programs Short-term assisted living stays Respite care (expanded hours) Training resources and counseling for family caregivers
Monthly Premium,$245 ,Best For,Families or those needing extensive dental work,,,t-of-Pocket Maximum,"$4,000 ",Best For, Employees actively providing care to a family member who need sustained support and financial relief
Deductible,"$1,500 ",,,,,Coverage,Comprehensive ICU and step-down care Expanded critical care physician and specialist consults ICU-level telemedicine monitoring Post-discharge transitional care program (home nurse visits for 14 days) Emergency and medically necessary air transport (with fewer restrictions) Emergency and medically necessary air transport (with fewer restrictions) ,Option C,
Out-of-Pocket Maximum,"$4,000 ",,,,,Best For,Those with complex medical histories or household members with chronic conditions that may lead to frequent hospital-level care,Monthly Premium,$95 
Primary Care Copay Visit,$25 ,,,,,Option C,,Benefit,"$1,500 "
Specialist Copay Visit,$50 ,,,,,Monthly Premium,$520 ,Coverage / Use,Dedicated care manager and rapid authorization for services Home health aides and licensed nursing when needed Long-term care navigation and benefit counseling Legal and financial planning consultations (limited sessions) Employer-arranged respite and temporary replacement caregiver services
Coverage,Primary & specialist care Emergency care Prescriptions (generic & brand name) Lab work and diagnostic tests X-rays and imaging Preventive services (100% covered),,,,,Deductible / Cost-Share,$0 ,Best For, Employees managing heavy caregiving responsibilities who need hands-on support and navigation
Best For,Individuals and families with moderate healthcare needs,,,,,t-of-Pocket Maximum,"$2,000 ",,
Option C,,,,,,Coverage,Full inpatient critical care coverage with minimal financial barriers Private room when medically appropriate 24/7 access to critical care nurse hotline Comprehensive post-discharge case management and rehabilitation coordination Nationwide emergency evacuation and repatriation Unlimited palliative and hospice planning consultations ,,
Monthly Premium,$380 ,,,,,Best For,Individuals who want top-tier financial protection and care coordination for serious illness or injury,,
Deductible,$500 ,,,,,,,,
Out-of-Pocket Maximum,"$2,000 ",,,,,,,,
Primary Care Copay Visit,$15 ,,,,,,,,
Specialist Copay Visit,$30 ,,,,,,,,
Coverage,Comprehensive medical care Preventive services (100% covered) Mental health services Physical therapy All prescriptions Maternity care Emergency care worldwide,,,,,,,,
Best For,Those with ongoing medical needs or families planning for major healthcare expenses,,,,,,,,
